,count,taxon.id,taxon.rank,taxon.rank_level,taxon.iconic_taxon_id,taxon.ancestor_ids,taxon.is_active,taxon.name,taxon.parent_id,taxon.ancestry,taxon.extinct,taxon.default_photo.id,taxon.default_photo.license_code,taxon.default_photo.attribution,taxon.default_photo.url,taxon.default_photo.original_dimensions.height,taxon.default_photo.original_dimensions.width,taxon.default_photo.flags,taxon.default_photo.square_url,taxon.default_photo.medium_url,taxon.taxon_changes_count,taxon.taxon_schemes_count,taxon.observations_count,taxon.flag_counts.resolved,taxon.flag_counts.unresolved,taxon.current_synonymous_taxon_ids,taxon.atlas_id,taxon.complete_species_count,taxon.wikipedia_url,taxon.iconic_taxon_name,taxon.preferred_common_name,taxon.conservation_status.source_id,taxon.conservation_status.user_id,taxon.conservation_status.authority,taxon.conservation_status.status,taxon.conservation_status.status_name,taxon.conservation_status.geoprivacy,taxon.conservation_status.iucn,taxon.conservation_status.place.id,taxon.conservation_status.place.name,taxon.conservation_status.place.display_name,taxon.conservation_status.place.ancestry,taxon.conservation_status.place_id,taxon.establishment_means.id,taxon.establishment_means.establishment_means,taxon.establishment_means.place.id,taxon.establishment_means.place.name,taxon.establishment_means.place.display_name,taxon.establishment_means.place.ancestry,taxon.preferred_establishment_means
0,251,41638,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848324, 41573, 41636, 846255, 41637, 41638]",True,Ursus americanus,41637,48460/1/2/355675/40151/848317/848320/848324/41573/41636/846255/41637,False,307636014,,"(c) Dan LaVorgna, all rights reserved, uploaded by Dan LaVorgna",https://static.inaturalist.org/photos/307636014/square.jpg,801,1200,[],https://static.inaturalist.org/photos/307636014/square.jpg,https://static.inaturalist.org/photos/307636014/medium.jpg,1,6,47913,3,0,,13.0,,http://en.wikipedia.org/wiki/American_black_bear,Mammalia,American Black Bear,,,NatureServe,s3,vulnerable,obscured,30.0,18.0,Texas,"Texas, US",97394/1,,,,,,,,
1,215,42113,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848324, 152870, 848343, 42111, 42112, 42113]",True,Pecari tajacu,42112,48460/1/2/355675/40151/848317/848320/848324/152870/848343/42111/42112,False,32909126,cc-by,"(c) Gustavo Masuzzo, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/32909126/square.jpg,1365,2048,[],https://inaturalist-open-data.s3.amazonaws.com/photos/32909126/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/32909126/medium.jpg,0,6,11225,2,1,,45.0,,https://en.wikipedia.org/wiki/Collared_peccary,Mammalia,Collared Peccary,,,,,,,,,,,,,,,,,,,
2,104,42051,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848324, 41573, 42043, 42044, 42051]",True,Canis latrans,42044,48460/1/2/355675/40151/848317/848320/848324/41573/42043/42044,False,29683240,cc-by-nc,"(c) Don McCullough, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/29683240/square.jpg,1638,2048,[],https://inaturalist-open-data.s3.amazonaws.com/photos/29683240/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/29683240/medium.jpg,2,6,83772,4,1,,8.0,,http://en.wikipedia.org/wiki/Coyote,Mammalia,Coyote,,,,,,,,,,,,,,,,,,,
3,88,180008,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848323, 43698, 129411, 45933, 339572, 209650, 179939, 180008]",True,Otospermophilus variegatus,179939,48460/1/2/355675/40151/848317/848320/848323/43698/129411/45933/339572/209650/179939,False,180968257,,"(c) Juan Miguel Artigas Azas, all rights reserved, uploaded by Juan Miguel Artigas Azas",https://static.inaturalist.org/photos/180968257/square.jpg,800,1200,[],https://static.inaturalist.org/photos/180968257/square.jpg,https://static.inaturalist.org/photos/180968257/medium.jpg,1,3,15230,1,0,,38.0,,http://en.wikipedia.org/wiki/Rock_squirrel,Mammalia,Rock Squirrel,,,,,,,,,,,,,,,,,,,
4,78,42223,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848324, 152870, 424850, 42158, 846185, 846324, 42219, 42223]",True,Odocoileus virginianus,42219,48460/1/2/355675/40151/848317/848320/848324/152870/424850/42158/846185/846324/42219,False,250644214,cc-by-nc,"(c) unknownalloy, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/250644214/square.jpeg,955,1185,[],https://inaturalist-open-data.s3.amazonaws.com/photos/250644214/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/250644214/medium.jpeg,0,7,211308,3,0,,4.0,,http://en.wikipedia.org/wiki/White-tailed_deer,Mammalia,White-tailed Deer,,,,,,,,,,,,,,,,,,,
5,76,43115,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848323, 43094, 43095, 43096, 43115]",True,Sylvilagus audubonii,43096,48460/1/2/355675/40151/848317/848320/848323/43094/43095/43096,False,168161731,cc-by-nc,"(c) Matt, some rights reserved (CC BY-NC), uploaded by Matt",https://inaturalist-open-data.s3.amazonaws.com/photos/168161731/square.jpg,1296,2048,[],https://inaturalist-open-data.s3.amazonaws.com/photos/168161731/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/168161731/medium.jpg,0,6,31644,1,0,,16.0,,http://en.wikipedia.org/wiki/Desert_cottontail,Mammalia,Desert Cottontail,,,,,,,,,,,,,,,,,,,
6,53,42076,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848324, 41573, 42043, 42075, 42076]",True,Urocyon cinereoargenteus,42075,48460/1/2/355675/40151/848317/848320/848324/41573/42043/42075,False,32504964,,"(c) Mike Zarella, all rights reserved, uploaded by Mike Zarella",https://static.inaturalist.org/photos/32504964/square.jpg,1008,1512,[],https://static.inaturalist.org/photos/32504964/square.jpg,https://static.inaturalist.org/photos/32504964/medium.jpg,0,6,25354,2,0,,19.0,,http://en.wikipedia.org/wiki/Gray_fox,Mammalia,Gray Fox,,,,,,,,,,,,,,,,,,,
7,49,43130,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848323, 43094, 43095, 43117, 43130]",True,Lepus californicus,43117,48460/1/2/355675/40151/848317/848320/848323/43094/43095/43117,False,22549628,,"(c) Ian Carlson, all rights reserved, uploaded by Ian Carlson",https://static.inaturalist.org/photos/22549628/square.jpg,1365,2048,[],https://static.inaturalist.org/photos/22549628/square.jpg,https://static.inaturalist.org/photos/22549628/medium.jpg,0,6,14870,2,0,,25.0,,http://en.wikipedia.org/wiki/Black-tailed_jackrabbit,Mammalia,Black-tailed Jackrabbit,,,,,,,,,,,,,,,,,,,
8,43,42220,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848324, 152870, 424850, 42158, 846185, 846324, 42219, 42220]",True,Odocoileus hemionus,42219,48460/1/2/355675/40151/848317/848320/848324/152870/424850/42158/846185/846324/42219,False,42633041,cc-by-sa,"(c) Oregon Department of Fish & Wildlife, some rights reserved (CC BY-SA)",https://inaturalist-open-data.s3.amazonaws.com/photos/42633041/square.jpg,1463,2048,[],https://inaturalist-open-data.s3.amazonaws.com/photos/42633041/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/42633041/medium.jpg,1,6,105430,4,0,,6.0,,http://en.wikipedia.org/wiki/Mule_deer,Mammalia,Mule Deer,,,,,,,,,,,,,,,,,,,
9,38,41976,species,10,40151,"[48460, 1, 2, 355675, 40151, 848317, 848320, 848324, 41573, 41944, 846179, 41973, 41976]",True,Lynx rufus,41973,48460/1/2/355675/40151/848317/848320/848324/41573/41944/846179/41973,False,60028871,cc-by-nc-nd,"(c) Kala Murphy King, some rights reserved (CC BY-NC-ND), uploaded by Kala Murphy King",https://inaturalist-open-data.s3.amazonaws.com/photos/60028871/square.jpg,1260,2048,[],https://inaturalist-open-data.s3.amazonaws.com/photos/60028871/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/60028871/medium.jpg,0,6,31547,1,0,,11.0,,http://en.wikipedia.org/wiki/Bobcat,Mammalia,Bobcat,,,,,,,,,,,,,,,,,,,
